hero_code,hero_name,hero_url,table_pick_rate,table_win_rate,table_ban_rate,list_top_sets,list_hard_heroes,list_with_heroes,detail_rank_text,detail_win_rate_text,detail_hard_heroes,detail_with_heroes,detail_pick_order_pick_rate_chart,detail_pick_order_ban_rate_chart,detail_win_rate_chart,pickrate_1,pickrate_2,pickrate_3,pickrate_4,pickrate_5,banrate_1,banrate_2,banrate_3,banrate_4,banrate_5
c5071,해변의 벨로나,https://epic7.onstove.com/ko/gg/herorecord/c5071,0.02,63.64,30.43,set_immune | set_vampire,c5110 | c1117 | c2113,c2113 | c2124 | c2131,42 위 / 259,63.64%,c5110 | c1117 | c2113,c2113 | c2124 | c2131,,,,,,,,,,,,,
c2009,어린 여왕 샬롯,https://epic7.onstove.com/ko/gg/herorecord/c2009,0.02,56.52,25.0,set_cri_dmg | set_penetrate,c1117 | c2001 | c2131,c2124 | c2001 | c2131,129 위 / 259,56.52%,c1117 | c2001 | c2131,c2124 | c2001 | c2131,,,,,,,,,,,,,
c6011,라스트 피스 카린,https://epic7.onstove.com/ko/gg/herorecord/c6011,0.02,50.0,12.5,set_penetrate | set_speed,c5072 | c1022 | c2076,c2125 | c2124 | c2090,167 위 / 259,50%,c5072 | c1022 | c2076,c2125 | c2124 | c2090,,,,,,,,,,,,,
c1154,비브리스,https://epic7.onstove.com/ko/gg/herorecord/c1154,0.02,46.67,31.82,set_acc | set_speed,c6024 | c2131 | c1176,c2001 | c2124 | c1022,177 위 / 259,46.67%,c6024 | c2131 | c1176,c2001 | c2124 | c1022,,,,,,,,,,,,,
c1006,키세,https://epic7.onstove.com/ko/gg/herorecord/c1006,0.02,46.43,52.17,set_cri_dmg | set_torrent,c2124 | c2131 | c2001,c1143 | c1172 | c1168,179 위 / 259,46.43%,c2124 | c2131 | c2001,c1143 | c1172 | c1168,,,,,,,,,,,,,
c3135,하솔,https://epic7.onstove.com/ko/gg/herorecord/c3135,0.02,42.86,29.17,set_max_hp | set_speed,c1176 | c2124 | c2131,c1168 | c1022 | c1172,188 위 / 259,42.86%,c1176 | c2124 | c2131,c1168 | c1022 | c1172,,,,,,,,,,,,,
c1111,에다,https://epic7.onstove.com/ko/gg/herorecord/c1111,0.01,57.14,19.05,set_speed | set_torrent,c2001 | c2124 | c2131,c1118 | c1168 | c1172,123 위 / 259,57.14%,c2001 | c2124 | c2131,c1118 | c1168 | c1172,,,,,,,,,,,,,
c6065,봉안의 수린,https://epic7.onstove.com/ko/gg/herorecord/c6065,0.01,54.24,28.57,set_cri_dmg | set_torrent,c2131 | c1168 | c2124,c1172 | c2089 | c2126,141 위 / 259,54.24%,c2131 | c1168 | c2124,c1172 | c2089 | c2126,,,,,,,,,,,,,
c2050,환영의 테네브리아,https://epic7.onstove.com/ko/gg/herorecord/c2050,0.01,48.15,9.52,set_cri_dmg | set_penetrate,c2124 | c2131 | c2129,c2001 | c1172 | c2131,174 위 / 259,48.15%,c2124 | c2131 | c2129,c2001 | c1172 | c2131,,,,,,,,,,,,,
c2043,자애의 로만,https://epic7.onstove.com/ko/gg/herorecord/c2043,0.01,38.89,14.29,set_acc | set_speed,c1133 | c1168 | c2131,c2001 | c6017 | c5072,198 위 / 259,38.89%,c1133 | c1168 | c2131,c2001 | c6017 | c5072,,,,,,,,,,,,,
